Official Full Name,"Official Symbol
",Gene type,Location,Exon Count,Chromosome,"HPO Term Identifier
","HPO Association
"
actin gamma 1,ACTG1,protein-coding,17q25.3,7,17,HP:0030680,Abnormal cardiovascular system morphology
actin gamma 10,ACTG10,protein-coding,17q25.12,7,17,HP:0000280,Coarse facial features
actin gamma 11,ACTG11,protein-coding,17q25.13,7,17,HP:0000589,Coloboma
actin gamma 12,ACTG12,protein-coding,17q25.14,7,17,HP:0000270,Delayed cranial suture closure
actin gamma 13,ACTG13,protein-coding,17q25.15,7,17,HP:0000437,Depressed nasal tip
actin gamma 14,ACTG14,protein-coding,17q25.16,7,17,HP:0000494,Downslanted palpebral fissures
actin gamma 15,ACTG15,protein-coding,17q25.17,7,17,HP:0009942,Duplication of thumb phalanx
actin gamma 16,ACTG16,protein-coding,17q25.18,7,17,HP:0010529,Echolalia
actin gamma 17,ACTG17,protein-coding,17q25.19,7,17,HP:0000286,Epicanthus
actin gamma 18,ACTG18,protein-coding,17q25.20,7,17,HP:0012905,Euryblepharon
actin gamma 19,ACTG19,protein-coding,17q25.21,7,17,HP:0001508,Failure to thrive
actin gamma 2,ACTG2,protein-coding,17q25.4,7,17,HP:0000377,Abnormal pinna morphology
actin gamma 20,ACTG20,protein-coding,17q25.22,7,17,HP:0011968,Feeding difficulties
actin gamma 21,ACTG21,protein-coding,17q25.23,7,17,HP:0000293,Full cheeks
actin gamma 22,ACTG22,protein-coding,17q25.24,7,17,HP:0001263,Global developmental delay
actin gamma 23,ACTG23,protein-coding,17q25.25,7,17,HP:0001510,Growth delay
actin gamma 24,ACTG24,protein-coding,17q25.26,7,17,HP:0000365,Hearing impairment
actin gamma 25,ACTG25,protein-coding,17q25.27,7,17,HP:0001100,Heterochromia iridis
actin gamma 26,ACTG26,protein-coding,17q25.28,7,17,HP:0002553,Highly arched eyebrow
actin gamma 27,ACTG27,protein-coding,17q25.29,7,17,HP:0000126,Hydronephrosis
actin gamma 28,ACTG28,protein-coding,17q25.30,7,17,HP:0000072,Hydroureter
actin gamma 29,ACTG29,protein-coding,17q25.31,7,17,HP:0000316,Hypertelorism
actin gamma 3,ACTG3,protein-coding,17q25.5,7,17,HP:0010935,Abnormality of the upper urinary tract
actin gamma 30,ACTG30,protein-coding,17q25.32,7,17,HP:0001249,Intellectual disability
actin gamma 31,ACTG31,protein-coding,17q25.33,7,17,HP:0000612,Iris coloboma
actin gamma 32,ACTG32,protein-coding,17q25.34,7,17,HP:0001387,Joint stiffness
actin gamma 33,ACTG33,protein-coding,17q25.35,7,17,HP:0000239,Large fontanelles
actin gamma 34,ACTG34,protein-coding,17q25.36,7,17,HP:0001339,Lissencephaly
actin gamma 35,ACTG35,protein-coding,17q25.37,7,17,HP:0003189,Long nose
actin gamma 36,ACTG36,protein-coding,17q25.38,7,17,HP:0000637,Long palpebral fissure
actin gamma 37,ACTG37,protein-coding,17q25.39,7,17,HP:0000343,Long philtrum
actin gamma 38,ACTG38,protein-coding,17q25.40,7,17,HP:0002162,Low posterior hairline
actin gamma 39,ACTG39,protein-coding,17q25.41,7,17,HP:0000252,Microcephaly
actin gamma 4,ACTG4,protein-coding,17q25.6,7,17,HP:0001274,Agenesis of corpus callosum
actin gamma 40,ACTG40,protein-coding,17q25.42,7,17,HP:0000482,Microcornea
actin gamma 41,ACTG41,protein-coding,17q25.43,7,17,HP:0000347,Micrognathia
actin gamma 42,ACTG42,protein-coding,17q25.44,7,17,HP:0000568,Microphthalmia
actin gamma 43,ACTG43,protein-coding,17q25.45,7,17,HP:0002300,Mutism
actin gamma 44,ACTG44,protein-coding,17q25.46,7,17,HP:0000588,Optic disc coloboma
actin gamma 45,ACTG45,protein-coding,17q25.47,7,17,HP:0000202,Orofacial cleft
actin gamma 46,ACTG46,protein-coding,17q25.48,7,17,HP:0040188,Osteochondrosis
actin gamma 47,ACTG47,protein-coding,17q25.49,7,17,HP:0001302,Pachygyria
actin gamma 48,ACTG48,protein-coding,17q25.50,7,17,HP:0100540,Palpebral edema
actin gamma 49,ACTG49,protein-coding,17q25.51,7,17,HP:0000307,Pointed chin
actin gamma 5,ACTG5,protein-coding,17q25.7,7,17,HP:0002381,Aphasia
actin gamma 50,ACTG50,protein-coding,17q25.52,7,17,HP:0002126,Polymicrogyria
actin gamma 51,ACTG51,protein-coding,17q25.53,7,17,HP:0000408,Progressive sensorineural hearing impairment
actin gamma 52,ACTG52,protein-coding,17q25.54,7,17,HP:0005487,Prominent metopic ridge
actin gamma 53,ACTG53,protein-coding,17q25.55,7,17,HP:0000448,Prominent nose
actin gamma 54,ACTG54,protein-coding,17q25.56,7,17,HP:0000508,Ptosis
actin gamma 55,ACTG55,protein-coding,17q25.57,7,17,HP:0030502,Retinoschisis
actin gamma 56,ACTG56,protein-coding,17q25.58,7,17,HP:0000278,Retrognathia
actin gamma 57,ACTG57,protein-coding,17q25.59,7,17,HP:0002650,Scoliosis
actin gamma 58,ACTG58,protein-coding,17q25.60,7,17,HP:0005484,Secondary microcephaly
actin gamma 59,ACTG59,protein-coding,17q25.61,7,17,HP:0001250,Seizure
actin gamma 6,ACTG6,protein-coding,17q25.8,7,17,HP:0000006,Autosomal dominant inheritance
actin gamma 60,ACTG60,protein-coding,17q25.62,7,17,HP:0002000,Short columella
actin gamma 61,ACTG61,protein-coding,17q25.63,7,17,HP:0000470,Short neck
actin gamma 62,ACTG62,protein-coding,17q25.64,7,17,HP:0004322,Short stature
actin gamma 63,ACTG63,protein-coding,17q25.65,7,17,HP:0002652,Skeletal dysplasia
actin gamma 64,ACTG64,protein-coding,17q25.66,7,17,HP:0001328,Specific learning disability
actin gamma 65,ACTG65,protein-coding,17q25.67,7,17,HP:0012157,Subcortical cerebral atrophy
actin gamma 66,ACTG66,protein-coding,17q25.68,7,17,HP:0000506,Telecanthus
actin gamma 67,ACTG67,protein-coding,17q25.69,7,17,HP:0000219,Thin upper lip vermilion
actin gamma 68,ACTG68,protein-coding,17q25.70,7,17,HP:0000233,Thin vermilion border
actin gamma 69,ACTG69,protein-coding,17q25.71,7,17,HP:0002326,Transient ischemic attack
actin gamma 7,ACTG7,protein-coding,17q25.9,7,17,HP:0008619,Bilateral sensorineural hearing impairment
actin gamma 70,ACTG70,protein-coding,17q25.72,7,17,HP:0000243,Trigonocephaly
actin gamma 71,ACTG71,protein-coding,17q25.73,7,17,HP:0002119,Ventriculomegaly
actin gamma 72,ACTG72,protein-coding,17q25.74,7,17,HP:0000465,Webbed neck
actin gamma 73,ACTG73,protein-coding,17q25.75,7,17,HP:0000154,Wide mouth
actin gamma 74,ACTG74,protein-coding,17q25.76,7,17,HP:0000431,Wide nasal bridge
actin gamma 75,ACTG75,protein-coding,17q25.77,7,17,HP:0000445,Wide nose
actin gamma 76,ACTG76,protein-coding,17q25.78,7,17,HP:0011462,Young adult onset
actin gamma 8,ACTG8,protein-coding,17q25.10,7,17,HP:0002120,Cerebral cortical atrophy
actin gamma 9,ACTG9,protein-coding,17q25.11,7,17,HP:0100308,Cerebral cortical hemiatrophy
actin like 6B,ACTL6B,protein-coding,7q22.1,14,7,HP:0001273,Abnormal corpus callosum morphology
actin like 6B,ACTL6B,protein-coding,7q22.2,14,7,HP:0012547,Abnormal involuntary eye movements
actin like 6B,ACTL6B,protein-coding,7q22.3,14,7,HP:0012447,Abnormal myelination
actin like 6B,ACTL6B,protein-coding,7q22.4,14,7,HP:0011443,Abnormality of coordination
actin like 6B,ACTL6B,protein-coding,7q22.5,14,7,HP:0000504,Abnormality of vision
actin like 6B,ACTL6B,protein-coding,7q22.6,14,7,HP:0001344,Absent speech
actin like 6B,ACTL6B,protein-coding,7q22.7,14,7,HP:0001251,Ataxia
actin like 6B,ACTL6B,protein-coding,7q22.8,14,7,HP:0007018,Attention deficit hyperactivity disorder
actin like 6B,ACTL6B,protein-coding,7q22.9,14,7,HP:0000708,Atypical behavior
actin like 6B,ACTL6B,protein-coding,7q22.10,14,7,HP:0000717,Autism
actin like 6B,ACTL6B,protein-coding,7q22.11,14,7,HP:0000729,Autistic behavior
actin like 6B,ACTL6B,protein-coding,7q22.12,14,7,HP:0000006,Autosomal dominant inheritance
actin like 6B,ACTL6B,protein-coding,7q22.13,14,7,HP:0000007,Autosomal recessive inheritance
actin like 6B,ACTL6B,protein-coding,7q22.14,14,7,HP:0008936,Axial hypotonia
actin like 6B,ACTL6B,protein-coding,7q22.15,14,7,HP:0002069,Bilateral tonic-clonic seizure
actin like 6B,ACTL6B,protein-coding,7q22.16,14,7,HP:0012444,Brain atrophy
actin like 6B,ACTL6B,protein-coding,7q22.17,14,7,HP:0000337,Broad forehead
actin like 6B,ACTL6B,protein-coding,7q22.18,14,7,HP:0002136,Broad-based gait
actin like 6B,ACTL6B,protein-coding,7q22.19,14,7,HP:0000414,Bulbous nose
actin like 6B,ACTL6B,protein-coding,7q22.20,14,7,HP:0001272,Cerebellar atrophy
actin like 6B,ACTL6B,protein-coding,7q22.21,14,7,HP:0002059,Cerebral atrophy
actin like 6B,ACTL6B,protein-coding,7q22.22,14,7,HP:0003819,Death in childhood
actin like 6B,ACTL6B,protein-coding,7q22.23,14,7,HP:0001558,Decreased fetal movement
actin like 6B,ACTL6B,protein-coding,7q22.24,14,7,HP:0002188,Delayed CNS myelination
actin like 6B,ACTL6B,protein-coding,7q22.25,14,7,HP:0000750,Delayed speech and language development
actin like 6B,ACTL6B,protein-coding,7q22.26,14,7,HP:0002376,Developmental regression
actin like 6B,ACTL6B,protein-coding,7q22.27,14,7,HP:0000699,Diastema
actin like 6B,ACTL6B,protein-coding,7q22.28,14,7,HP:0000494,Downslanted palpebral fissures
actin like 6B,ACTL6B,protein-coding,7q22.29,14,7,HP:0100660,Dyskinesia
actin like 6B,ACTL6B,protein-coding,7q22.30,14,7,HP:0010844,EEG with multifocal slow activity
actin like 6B,ACTL6B,protein-coding,7q22.31,14,7,HP:0001298,Encephalopathy
actin like 6B,ACTL6B,protein-coding,7q22.32,14,7,HP:0001508,Failure to thrive
actin like 6B,ACTL6B,protein-coding,7q22.33,14,7,HP:0011968,Feeding difficulties
actin like 6B,ACTL6B,protein-coding,7q22.34,14,7,HP:0008872,Feeding difficulties in infancy
actin like 6B,ACTL6B,protein-coding,7q22.35,14,7,HP:0001288,Gait disturbance
actin like 6B,ACTL6B,protein-coding,7q22.36,14,7,HP:0002020,Gastroesophageal reflux
actin like 6B,ACTL6B,protein-coding,7q22.37,14,7,HP:0001290,Generalized hypotonia
actin like 6B,ACTL6B,protein-coding,7q22.38,14,7,HP:0002283,Global brain atrophy
actin like 6B,ACTL6B,protein-coding,7q22.39,14,7,HP:0001263,Global developmental delay
actin like 6B,ACTL6B,protein-coding,7q22.40,14,7,HP:0000348,High forehead
actin like 6B,ACTL6B,protein-coding,7q22.41,14,7,HP:0000316,Hypertelorism
actin like 6B,ACTL6B,protein-coding,7q22.42,14,7,HP:0000668,Hypodontia
actin like 6B,ACTL6B,protein-coding,7q22.43,14,7,HP:0002079,Hypoplasia of the corpus callosum
actin like 6B,ACTL6B,protein-coding,7q22.44,14,7,HP:0001265,Hyporeflexia
actin like 6B,ACTL6B,protein-coding,7q22.45,14,7,HP:0001252,Hypotonia
actin like 6B,ACTL6B,protein-coding,7q22.46,14,7,HP:0002521,Hypsarrhythmia
actin like 6B,ACTL6B,protein-coding,7q22.47,14,7,HP:0100710,Impulsivity
actin like 6B,ACTL6B,protein-coding,7q22.48,14,7,HP:0002540,Inability to walk
actin like 6B,ACTL6B,protein-coding,7q22.49,14,7,HP:0003593,Infantile onset
actin like 6B,ACTL6B,protein-coding,7q22.50,14,7,HP:0012469,Infantile spasms
actin like 6B,ACTL6B,protein-coding,7q22.51,14,7,HP:0001249,Intellectual disability
actin like 6B,ACTL6B,protein-coding,7q22.52,14,7,HP:0004305,Involuntary movements
actin like 6B,ACTL6B,protein-coding,7q22.53,14,7,HP:0002509,Limb hypertonia
actin like 6B,ACTL6B,protein-coding,7q22.54,14,7,HP:0002061,Lower limb spasticity
actin like 6B,ACTL6B,protein-coding,7q22.55,14,7,HP:0001268,Mental deterioration
actin like 6B,ACTL6B,protein-coding,7q22.56,14,7,HP:0000252,Microcephaly
actin like 6B,ACTL6B,protein-coding,7q22.57,14,7,HP:0010841,Multifocal epileptiform discharges
actin like 6B,ACTL6B,protein-coding,7q22.58,14,7,HP:0001336,Myoclonus
actin like 6B,ACTL6B,protein-coding,7q22.59,14,7,HP:0000639,Nystagmus
actin like 6B,ACTL6B,protein-coding,7q22.60,14,7,HP:0000648,Optic atrophy
actin like 6B,ACTL6B,protein-coding,7q22.61,14,7,HP:0030891,Periventricular white matter hyperintensities
actin like 6B,ACTL6B,protein-coding,7q22.62,14,7,HP:0002421,Poor head control
actin like 6B,ACTL6B,protein-coding,7q22.63,14,7,HP:0011220,Prominent forehead
actin like 6B,ACTL6B,protein-coding,7q22.64,14,7,HP:0000508,Ptosis
actin like 6B,ACTL6B,protein-coding,7q22.65,14,7,HP:0001315,Reduced tendon reflexes
actin like 6B,ACTL6B,protein-coding,7q22.66,14,7,HP:0000546,Retinal degeneration
actin like 6B,ACTL6B,protein-coding,7q22.67,14,7,HP:0002063,Rigidity
actin like 6B,ACTL6B,protein-coding,7q22.68,14,7,HP:0001250,Seizure
actin like 6B,ACTL6B,protein-coding,7q22.69,14,7,HP:0011344,Severe global developmental delay
actin like 6B,ACTL6B,protein-coding,7q22.70,14,7,HP:0010864,Severe intellectual disability
actin like 6B,ACTL6B,protein-coding,7q22.71,14,7,HP:0009882,Short distal phalanx of finger
actin like 6B,ACTL6B,protein-coding,7q22.72,14,7,HP:0004322,Short stature
actin like 6B,ACTL6B,protein-coding,7q22.73,14,7,HP:0001792,Small nail
actin like 6B,ACTL6B,protein-coding,7q22.74,14,7,HP:0001257,Spasticity
actin like 6B,ACTL6B,protein-coding,7q22.75,14,7,HP:0002133,Status epilepticus
actin like 6B,ACTL6B,protein-coding,7q22.76,14,7,HP:0001337,Tremor
actin like 6B,ACTL6B,protein-coding,7q22.77,14,7,HP:0002317,Unsteady gait
actin like 6B,ACTL6B,protein-coding,7q22.78,14,7,HP:0006986,Upper limb spasticity
actin like 6B,ACTL6B,protein-coding,7q22.79,14,7,HP:0000154,Wide mouth
activator of transcription and developmental regulator AUTS2,AUTS2,protein-coding,7q11.22,25,7,HP:0012443,Abnormal brain morphology
activator of transcription and developmental regulator AUTS2,AUTS2,protein-coding,7q11.22,25,7,HP:0001999,Abnormal facial shape
activator of transcription and developmental regulator AUTS2,AUTS2,protein-coding,7q11.22,25,7,HP:0001760,Abnormal foot morphology
activator of transcription and developmental regulator AUTS2,AUTS2,protein-coding,7q11.22,25,7,HP:0001627,Abnormal heart morphology
activator of transcription and developmental regulator AUTS2,AUTS2,protein-coding,7q11.22,25,7,HP:0000463,Anteverted nares
activator of transcription and developmental regulator AUTS2,AUTS2,protein-coding,7q11.22,25,7,HP:0002804,Arthrogryposis multiplex congenita
activator of transcription and developmental regulator AUTS2,AUTS2,protein-coding,7q11.22,25,7,HP:0001631,Atrial septal defect
activator of transcription and developmental regulator AUTS2,AUTS2,protein-coding,7q11.22,25,7,HP:0007018,Attention deficit hyperactivity disorder
activator of transcription and developmental regulator AUTS2,AUTS2,protein-coding,7q11.22,25,7,HP:0025112,Auditory sensitivity
activator of transcription and developmental regulator AUTS2,AUTS2,protein-coding,7q11.22,25,7,HP:0000729,Autistic behavior
activator of transcription and developmental regulator AUTS2,AUTS2,protein-coding,7q11.22,25,7,HP:0000006,Autosomal dominant inheritance
activator of transcription and developmental regulator AUTS2,AUTS2,protein-coding,7q11.22,25,7,HP:0001488,Bilateral ptosis
activator of transcription and developmental regulator AUTS2,AUTS2,protein-coding,7q11.22,25,7,HP:0000248,Brachycephaly
activator of transcription and developmental regulator AUTS2,AUTS2,protein-coding,7q11.22,25,7,HP:0100021,Cerebral palsy
activator of transcription and developmental regulator AUTS2,AUTS2,protein-coding,7q11.22,25,7,HP:0004209,Clinodactyly of the 5th finger
activator of transcription and developmental regulator AUTS2,AUTS2,protein-coding,7q11.22,25,7,HP:0000722,Compulsive behaviors
activator of transcription and developmental regulator AUTS2,AUTS2,protein-coding,7q11.22,25,7,HP:0002803,Congenital contracture
activator of transcription and developmental regulator AUTS2,AUTS2,protein-coding,7q11.22,25,7,HP:0000028,Cryptorchidism
activator of transcription and developmental regulator AUTS2,AUTS2,protein-coding,7q11.22,25,7,HP:0006184,Decreased palmar creases
activator of transcription and developmental regulator AUTS2,AUTS2,protein-coding,7q11.22,25,7,HP:0002002,Deep philtrum
activator of transcription and developmental regulator AUTS2,AUTS2,protein-coding,7q11.22,25,7,HP:0010862,Delayed fine motor development
activator of transcription and developmental regulator AUTS2,AUTS2,protein-coding,7q11.22,25,7,HP:0000750,Delayed speech and language development
activator of transcription and developmental regulator AUTS2,AUTS2,protein-coding,7q11.22,25,7,HP:0005280,Depressed nasal bridge
activator of transcription and developmental regulator AUTS2,AUTS2,protein-coding,7q11.22,25,7,HP:0000494,Downslanted palpebral fissures
activator of transcription and developmental regulator AUTS2,AUTS2,protein-coding,7q11.22,25,7,HP:0000964,Eczematoid dermatitis
activator of transcription and developmental regulator AUTS2,AUTS2,protein-coding,7q11.22,25,7,HP:0000286,Epicanthus
activator of transcription and developmental regulator AUTS2,AUTS2,protein-coding,7q11.22,25,7,HP:0011968,Feeding difficulties
activator of transcription and developmental regulator AUTS2,AUTS2,protein-coding,7q11.22,25,7,HP:0008872,Feeding difficulties in infancy
activator of transcription and developmental regulator AUTS2,AUTS2,protein-coding,7q11.22,25,7,HP:0001290,Generalized hypotonia
activator of transcription and developmental regulator AUTS2,AUTS2,protein-coding,7q11.22,25,7,HP:0001263,Global developmental delay
activator of transcription and developmental regulator AUTS2,AUTS2,protein-coding,7q11.22,25,7,HP:0002553,Highly arched eyebrow
activator of transcription and developmental regulator AUTS2,AUTS2,protein-coding,7q11.22,25,7,HP:0000752,Hyperactivity
activator of transcription and developmental regulator AUTS2,AUTS2,protein-coding,7q11.22,25,7,HP:0001347,Hyperreflexia
activator of transcription and developmental regulator AUTS2,AUTS2,protein-coding,7q11.22,25,7,HP:0000316,Hypertelorism
activator of transcription and developmental regulator AUTS2,AUTS2,protein-coding,7q11.22,25,7,HP:0001276,Hypertonia
activator of transcription and developmental regulator AUTS2,AUTS2,protein-coding,7q11.22,25,7,HP:0003593,Infantile onset
activator of transcription and developmental regulator AUTS2,AUTS2,protein-coding,7q11.22,25,7,HP:0000023,Inguinal hernia
activator of transcription and developmental regulator AUTS2,AUTS2,protein-coding,7q11.22,25,7,HP:0001249,Intellectual disability
activator of transcription and developmental regulator AUTS2,AUTS2,protein-coding,7q11.22,25,7,HP:0001511,Intrauterine growth retardation
activator of transcription and developmental regulator AUTS2,AUTS2,protein-coding,7q11.22,25,7,HP:0009183,Joint contracture of the 5th finger
activator of transcription and developmental regulator AUTS2,AUTS2,protein-coding,7q11.22,25,7,HP:0009473,Joint contracture of the hand
activator of transcription and developmental regulator AUTS2,AUTS2,protein-coding,7q11.22,25,7,HP:0002808,Kyphosis
activator of transcription and developmental regulator AUTS2,AUTS2,protein-coding,7q11.22,25,7,HP:0000369,Low-set ears
activator of transcription and developmental regulator AUTS2,AUTS2,protein-coding,7q11.22,25,7,HP:0000252,Microcephaly
activator of transcription and developmental regulator AUTS2,AUTS2,protein-coding,7q11.22,25,7,HP:0000347,Micrognathia
activator of transcription and developmental regulator AUTS2,AUTS2,protein-coding,7q11.22,25,7,HP:0000733,Motor stereotypy
activator of transcription and developmental regulator AUTS2,AUTS2,protein-coding,7q11.22,25,7,HP:0000160,Narrow mouth
activator of transcription and developmental regulator AUTS2,AUTS2,protein-coding,7q11.22,25,7,HP:0004283,Narrow palm
activator of transcription and developmental regulator AUTS2,AUTS2,protein-coding,7q11.22,25,7,HP:0003623,Neonatal onset
activator of transcription and developmental regulator AUTS2,AUTS2,protein-coding,7q11.22,25,7,HP:0100277,Periauricular skin pits
activator of transcription and developmental regulator AUTS2,AUTS2,protein-coding,7q11.22,25,7,HP:0005274,Prominent nasal tip
activator of transcription and developmental regulator AUTS2,AUTS2,protein-coding,7q11.22,25,7,HP:0000520,Proptosis
activator of transcription and developmental regulator AUTS2,AUTS2,protein-coding,7q11.22,25,7,HP:0000508,Ptosis
activator of transcription and developmental regulator AUTS2,AUTS2,protein-coding,7q11.22,25,7,HP:0008762,Repetitive compulsive behavior
activator of transcription and developmental regulator AUTS2,AUTS2,protein-coding,7q11.22,25,7,HP:0000278,Retrognathia
activator of transcription and developmental regulator AUTS2,AUTS2,protein-coding,7q11.22,25,7,HP:0002650,Scoliosis
activator of transcription and developmental regulator AUTS2,AUTS2,protein-coding,7q11.22,25,7,HP:0001250,Seizure
activator of transcription and developmental regulator AUTS2,AUTS2,protein-coding,7q11.22,25,7,HP:0012745,Short palpebral fissure
activator of transcription and developmental regulator AUTS2,AUTS2,protein-coding,7q11.22,25,7,HP:0000322,Short philtrum
activator of transcription and developmental regulator AUTS2,AUTS2,protein-coding,7q11.22,25,7,HP:0004322,Short stature
activator of transcription and developmental regulator AUTS2,AUTS2,protein-coding,7q11.22,25,7,HP:0001518,Small for gestational age
activator of transcription and developmental regulator AUTS2,AUTS2,protein-coding,7q11.22,25,7,HP:0001257,Spasticity
activator of transcription and developmental regulator AUTS2,AUTS2,protein-coding,7q11.22,25,7,HP:0001328,Specific learning disability
activator of transcription and developmental regulator AUTS2,AUTS2,protein-coding,7q11.22,25,7,HP:0000486,Strabismus
activator of transcription and developmental regulator AUTS2,AUTS2,protein-coding,7q11.22,25,7,HP:0000574,Thick eyebrow
activator of transcription and developmental regulator AUTS2,AUTS2,protein-coding,7q11.22,25,7,HP:0012471,Thick vermilion border
activator of transcription and developmental regulator AUTS2,AUTS2,protein-coding,7q11.22,25,7,HP:0001537,Umbilical hernia
activator of transcription and developmental regulator AUTS2,AUTS2,protein-coding,7q11.22,25,7,HP:0000582,Upslanted palpebral fissure
activator of transcription and developmental regulator AUTS2,AUTS2,protein-coding,7q11.22,25,7,HP:0000154,Wide mouth
activator of transcription and developmental regulator AUTS2,AUTS2,protein-coding,7q11.22,25,7,HP:0000431,Wide nasal bridge
adenosine deaminase RNA specific B1,ADARB1,protein-coding,21q22.3,21,21,HP:0001344,Absent speech
adenosine deaminase RNA specific B1,ADARB1,protein-coding,21q22.3,21,21,HP:0000007,Autosomal recessive inheritance
adenosine deaminase RNA specific B1,ADARB1,protein-coding,21q22.3,21,21,HP:0008936,Axial hypotonia
adenosine deaminase RNA specific B1,ADARB1,protein-coding,21q22.3,21,21,HP:0000248,Brachycephaly
adenosine deaminase RNA specific B1,ADARB1,protein-coding,21q22.3,21,21,HP:0100704,Cerebral visual impairment
adenosine deaminase RNA specific B1,ADARB1,protein-coding,21q22.3,21,21,HP:0002188,Delayed CNS myelination
adenosine deaminase RNA specific B1,ADARB1,protein-coding,21q22.3,21,21,HP:0031936,Delayed ability to walk
adenosine deaminase RNA specific B1,ADARB1,protein-coding,21q22.3,21,21,HP:0000577,Exotropia
adenosine deaminase RNA specific B1,ADARB1,protein-coding,21q22.3,21,21,HP:0011968,Feeding difficulties
adenosine deaminase RNA specific B1,ADARB1,protein-coding,21q22.3,21,21,HP:0001290,Generalized hypotonia
adenosine deaminase RNA specific B1,ADARB1,protein-coding,21q22.3,21,21,HP:0001263,Global developmental delay
adenosine deaminase RNA specific B1,ADARB1,protein-coding,21q22.3,21,21,HP:0009890,High anterior hairline
adenosine deaminase RNA specific B1,ADARB1,protein-coding,21q22.3,21,21,HP:0000218,High palate
adenosine deaminase RNA specific B1,ADARB1,protein-coding,21q22.3,21,21,HP:0002079,Hypoplasia of the corpus callosum
adenosine deaminase RNA specific B1,ADARB1,protein-coding,21q22.3,21,21,HP:0010880,Increased nuchal translucency
adenosine deaminase RNA specific B1,ADARB1,protein-coding,21q22.3,21,21,HP:0001249,Intellectual disability
adenosine deaminase RNA specific B1,ADARB1,protein-coding,21q22.3,21,21,HP:0011182,Interictal epileptiform activity
adenosine deaminase RNA specific B1,ADARB1,protein-coding,21q22.3,21,21,HP:0001601,Laryngomalacia
adenosine deaminase RNA specific B1,ADARB1,protein-coding,21q22.3,21,21,HP:0000252,Microcephaly
adenosine deaminase RNA specific B1,ADARB1,protein-coding,21q22.3,21,21,HP:0001270,Motor delay
adenosine deaminase RNA specific B1,ADARB1,protein-coding,21q22.3,21,21,HP:0000300,Oval face
adenosine deaminase RNA specific B1,ADARB1,protein-coding,21q22.3,21,21,HP:0001357,Plagiocephaly
adenosine deaminase RNA specific B1,ADARB1,protein-coding,21q22.3,21,21,HP:0001561,Polyhydramnios
adenosine deaminase RNA specific B1,ADARB1,protein-coding,21q22.3,21,21,HP:0005487,Prominent metopic ridge
adenosine deaminase RNA specific B1,ADARB1,protein-coding,21q22.3,21,21,HP:0000311,Round face
adenosine deaminase RNA specific B1,ADARB1,protein-coding,21q22.3,21,21,HP:0001250,Seizure
adenosine deaminase RNA specific B1,ADARB1,protein-coding,21q22.3,21,21,HP:0004322,Short stature
adenosine deaminase RNA specific B1,ADARB1,protein-coding,21q22.3,21,21,HP:0003202,Skeletal muscle atrophy
adenosine deaminase RNA specific B1,ADARB1,protein-coding,21q22.3,21,21,HP:0001257,Spasticity
adenosine deaminase RNA specific B1,ADARB1,protein-coding,21q22.3,21,21,HP:0007112,Temporal cortical atrophy
adenosine deaminase RNA specific B1,ADARB1,protein-coding,21q22.3,21,21,HP:0000219,Thin upper lip vermilion
adenosine deaminase RNA specific B1,ADARB1,protein-coding,21q22.3,21,21,HP:0012741,Unilateral cryptorchidism
adenosine deaminase RNA specific B1,ADARB1,protein-coding,21q22.3,21,21,HP:0000582,Upslanted palpebral fissure
adhesion G protein-coupled receptor V1,ADGRV1,protein-coding,5q14.3,91,5,HP:0000512,Abnormal electroretinogram
adhesion G protein-coupled receptor V1,ADGRV1,protein-coding,5q14.3,91,5,HP:0001751,Abnormal vestibular function
adhesion G protein-coupled receptor V1,ADGRV1,protein-coding,5q14.3,91,5,HP:0000359,Abnormality of the inner ear
adhesion G protein-coupled receptor V1,ADGRV1,protein-coding,5q14.3,91,5,HP:0000739,Anxiety
adhesion G protein-coupled receptor V1,ADGRV1,protein-coding,5q14.3,91,5,HP:0001251,Ataxia
adhesion G protein-coupled receptor V1,ADGRV1,protein-coding,5q14.3,91,5,HP:0010819,Atonic seizure
adhesion G protein-coupled receptor V1,ADGRV1,protein-coding,5q14.3,91,5,HP:0011151,Atypical absence status epilepticus
adhesion G protein-coupled receptor V1,ADGRV1,protein-coding,5q14.3,91,5,HP:0000729,Autistic behavior
adhesion G protein-coupled receptor V1,ADGRV1,protein-coding,5q14.3,91,5,HP:0000006,Autosomal dominant inheritance
adhesion G protein-coupled receptor V1,ADGRV1,protein-coding,5q14.3,91,5,HP:0000007,Autosomal recessive inheritance
adhesion G protein-coupled receptor V1,ADGRV1,protein-coding,5q14.3,91,5,HP:0002069,Bilateral tonic-clonic seizure
adhesion G protein-coupled receptor V1,ADGRV1,protein-coding,5q14.3,91,5,HP:0002067,Bradykinesia
adhesion G protein-coupled receptor V1,ADGRV1,protein-coding,5q14.3,91,5,HP:0000518,Cataract
adhesion G protein-coupled receptor V1,ADGRV1,protein-coding,5q14.3,91,5,HP:0011463,Childhood onset
adhesion G protein-coupled receptor V1,ADGRV1,protein-coding,5q14.3,91,5,HP:0100543,Cognitive impairment
adhesion G protein-coupled receptor V1,ADGRV1,protein-coding,5q14.3,91,5,HP:0000551,Color vision defect
adhesion G protein-coupled receptor V1,ADGRV1,protein-coding,5q14.3,91,5,HP:0008527,Congenital sensorineural hearing impairment
adhesion G protein-coupled receptor V1,ADGRV1,protein-coding,5q14.3,91,5,HP:0001133,Constriction of peripheral visual field
