Official Full Name,"Official Symbol
","Disease Identifier
","Disease Name
"
collagen type XI alpha 2 chain,COL11A2,OMIM:215150,Otospondylomegaepiphyseal dysplasia
collagen type XI alpha 2 chain,COL11A2,OMIM:184840,"Stickler syndrome, type III"
CREB binding lysine acetyltransferase,CREBBP,ORPHA:592574,Menke-Hennekam syndrome
CREB binding lysine acetyltransferase,CREBBP,OMIM:618332,Menke-Hennekam syndrome 1
CREB binding lysine acetyltransferase,CREBBP,OMIM:180849,Rubinstein-Taybi syndrome 1
CREB binding lysine acetyltransferase,CREBBP,ORPHA:353281,Rubinstein-Taybi syndrome due to 16p13.3 microdeletion
CREB binding lysine acetyltransferase,CREBBP,ORPHA:353277,Rubinstein-Taybi syndrome due to CREBBP mutations
cyclin dependent kinase 13,CDK13,OMIM:617360,"Congenital heart defects, dysmorphic facial features, and intellectual developmental disorder"
damage specific DNA binding protein 1,DDB1,OMIM:619426,White-Kernohan syndrome
DEAD-box helicase 3 X-linked,DDX3X,OMIM:300958,"Intellectual developmental disorder, X-linked, syndrome, snijders Blok type"
