Official Full Name,"Official Symbol
","Disease Identifier
","Disease Name
"
solute carrier family 12 member 2,SLC12A2,OMIM:619080,Kilquist syndrome
solute carrier family 26 member 4,SLC26A4,ORPHA:95713,Athyreosis
solute carrier family 26 member 4,SLC26A4,OMIM:600791,"Deafness, autosomal recessive 4, with enlarged vestibular aqueduct"
solute carrier family 26 member 4,SLC26A4,OMIM:274600,Pendred syndrome
solute carrier family 26 member 4,SLC26A4,ORPHA:705,Pendred syndrome
solute carrier family 26 member 4,SLC26A4,ORPHA:95720,Thyroid hypoplasia
spalt like transcription factor 1,SALL1,ORPHA:857,Townes-Brocks syndrome
spalt like transcription factor 1,SALL1,OMIM:107480,Townes-Brocks syndrome 1
spectrin repeat containing nuclear envelope protein 1,SYNE1,OMIM:618484,"Arthrogryposis multiplex congenita 3, myogenic type"
spectrin repeat containing nuclear envelope protein 1,SYNE1,ORPHA:98853,Autosomal dominant Emery-Dreifuss muscular dystrophy
spectrin repeat containing nuclear envelope protein 1,SYNE1,ORPHA:88644,"Autosomal recessive ataxia, Beauce type"
spectrin repeat containing nuclear envelope protein 1,SYNE1,ORPHA:319332,Autosomal recessive myogenic arthrogryposis multiplex congenita
spectrin repeat containing nuclear envelope protein 1,SYNE1,OMIM:612998,"Emery-Dreifuss muscular dystrophy 4, autosomal dominant"
spectrin repeat containing nuclear envelope protein 1,SYNE1,OMIM:610743,"Spinocerebellar ataxia, autosomal recessive 8"
spectrin repeat containing nuclear envelope protein 4,SYNE4,OMIM:615540,"Deafness, autosomal recessive 76"
spermatogenesis and oogenesis specific basic helix-loop-helix 1,SOHLH1,ORPHA:399805,Male infertility with azoospermia or oligozoospermia due to single gene mutation
spermatogenesis and oogenesis specific basic helix-loop-helix 1,SOHLH1,OMIM:617690,Ovarian dysgenesis 5
spermatogenesis and oogenesis specific basic helix-loop-helix 1,SOHLH1,OMIM:618115,Spermatogenic failure 32
SRY-box transcription factor 10,SOX10,ORPHA:478,Kallmann syndrome
SRY-box transcription factor 10,SOX10,OMIM:609136,"Peripheral demyelinating neuropathy, central dysmyelination, Waardenburg syndrome, and Hirschsprung disease"
SRY-box transcription factor 10,SOX10,ORPHA:163746,Peripheral demyelinating neuropathy-central dysmyelinating leukodystrophy-Waardenburg syndrome-Hirschsprung disease
SRY-box transcription factor 10,SOX10,ORPHA:895,Waardenburg syndrome type 2
SRY-box transcription factor 10,SOX10,OMIM:611584,"Waardenburg syndrome, type 2E"
SRY-box transcription factor 10,SOX10,OMIM:613266,"Waardenburg syndrome, type 4C"
SRY-box transcription factor 10,SOX10,ORPHA:897,Waardenburg-Shah syndrome
stereocilin,STRC,OMIM:603720,"Deafness, autosomal recessive 16"
stereocilin,STRC,OMIM:611102,"Deafness, sensorineural, and male infertility"
stereocilin,STRC,ORPHA:94064,Deafness-infertility syndrome
stereocilin,STRC,OMIM:612997,Spermatogenic failure 7
succinate dehydrogenase complex subunit D,SDHD,ORPHA:100093,Carcinoid syndrome
succinate dehydrogenase complex subunit D,SDHD,ORPHA:97286,Carney-Stratakis syndrome
succinate dehydrogenase complex subunit D,SDHD,OMIM:606864,Carney-Stratakis syndrome
succinate dehydrogenase complex subunit D,SDHD,ORPHA:201,Cowden syndrome
succinate dehydrogenase complex subunit D,SDHD,ORPHA:29072,Hereditary pheochromocytoma-paraganglioma
succinate dehydrogenase complex subunit D,SDHD,ORPHA:3208,Isolated succinate-CoQ reductase deficiency
succinate dehydrogenase complex subunit D,SDHD,OMIM:619167,"Mitochondrial complex II deficiency, nuclear type 3"
succinate dehydrogenase complex subunit D,SDHD,OMIM:168000,Paragangliomas 1
succinate dehydrogenase complex subunit D,SDHD,ORPHA:276621,Sporadic pheochromocytoma/secreting paraganglioma
sulfatase modifying factor 1,SUMF1,OMIM:272200,Multiple sulfatase deficiency
sulfatase modifying factor 1,SUMF1,ORPHA:585,Multiple sulfatase deficiency
synaptotagmin 1,SYT1,OMIM:618218,Baker-Gordon syndrome
synaptotagmin 1,SYT1,ORPHA:522077,Infantile hypotonia-oculomotor anomalies-hyperkinetic movements-developmental delay syndrome
TAO kinase 1,TAOK1,OMIM:619575,Developmental delay with or without intellectual impairment or behavioral abnormalities
taperin,TPRN,OMIM:613307,"Deafness, autosomal recessive 79"
TATA-box binding protein associated factor 6,TAF6,OMIM:617126,Alazami-Yuan syndrome
TBC1 domain family member 24,TBC1D24,ORPHA:79500,DOORS syndrome
TBC1 domain family member 24,TBC1D24,OMIM:616044,"Deafness, autosomal dominant 65"
TBC1 domain family member 24,TBC1D24,OMIM:614617,"Deafness, autosomal recessive 86"
TBC1 domain family member 24,TBC1D24,OMIM:615338,Developmental and epileptic encephalopathy 16
TBC1 domain family member 24,TBC1D24,OMIM:220500,Doors syndrome
TBC1 domain family member 24,TBC1D24,ORPHA:293181,Epilepsy of infancy with migrating focal seizures
TBC1 domain family member 24,TBC1D24,OMIM:608105,"Epilepsy, rolandic, with paroxysmal exercise-induced dystonia and writer's cramp"
TBC1 domain family member 24,TBC1D24,ORPHA:352582,Familial infantile myoclonic epilepsy
TBC1 domain family member 24,TBC1D24,OMIM:605021,"Myoclonic epilepsy, familial infantile"
TBC1 domain family member 24,TBC1D24,ORPHA:352596,Progressive myoclonic epilepsy with dystonia
TBC1 domain family member 24,TBC1D24,ORPHA:163727,Rolandic epilepsy-paroxysmal exercise-induced dystonia-writer's cramp syndrome
tectorin alpha,TECTA,OMIM:601543,"Deafness, autosomal dominant nonsyndromic sensorineural 12"
tectorin alpha,TECTA,OMIM:603629,"Deafness, autosomal recessive 21"
"tetratricopeptide repeat, ankyrin repeat and coiled-coil containing 2",TANC2,OMIM:618906,"Intellectual developmental disorder with autistic features and language delay, with or without seizures"
thyroid hormone receptor interactor 12,TRIP12,OMIM:617752,Clark-Baraitser syndrome
titin,TTN,ORPHA:169186,Autosomal recessive centronuclear myopathy
titin,TTN,OMIM:604145,"Cardiomyopathy, dilated, 1G"
titin,TTN,OMIM:613765,"Cardiomyopathy, familial hypertrophic, 9"
titin,TTN,ORPHA:324604,Classic multiminicore myopathy
titin,TTN,OMIM:611705,Congenital myopathy 5 with cardiomyopathy
titin,TTN,ORPHA:154,Familial isolated dilated cardiomyopathy
titin,TTN,ORPHA:334,Hereditary atrial fibrillation
titin,TTN,ORPHA:178464,Hereditary myopathy with early respiratory failure
titin,TTN,OMIM:608807,"Muscular dystrophy, limb-girdle, autosomal recessive 10"
titin,TTN,OMIM:603689,"Myopathy, myofibrillar, 9, with early respiratory failure"
titin,TTN,ORPHA:609,Tibial muscular dystrophy
titin,TTN,OMIM:600334,"Tibial muscular dystrophy, tardive"
tousled like kinase 2,TLK2,OMIM:618050,"Intellectual developmental disorder, autosomal dominant 57"
trafficking protein particle complex subunit 4,TRAPPC4,OMIM:618741,"Neurodevelopmental disorder with epilepsy, spasticity, and brain atrophy"
transcription factor 20,TCF20,OMIM:618430,Developmental delay with variable intellectual impairment and behavioral abnormalities
transmembrane channel like 1,TMC1,OMIM:606705,"Deafness, autosomal dominant 36"
transmembrane channel like 1,TMC1,OMIM:600974,"Deafness, neurosensory, autosomal recessive 7"
transmembrane inner ear,TMIE,OMIM:600971,"Deafness, autosomal recessive 6
"
transmembrane serine protease 3,TMPRSS3,OMIM:601072,"Deafness, autosomal recessive 8/10"
trinucleotide repeat containing adaptor 6B,TNRC6B,OMIM:619243,Global developmental delay with speech and behavioral abnormalities
TRIO and F-actin binding protein,TRIOBP,OMIM:609823,"Deafness, autosomal recessive 28"
trio Rho guanine nucleotide exchange factor,TRIO,OMIM:617061,"Intellectual developmental disorder, autosomal dominant 44, with microcephaly"
trio Rho guanine nucleotide exchange factor,TRIO,OMIM:618825,"Intellectual developmental disorder, autosomal dominant 63, with macrocephaly"
trio Rho guanine nucleotide exchange factor,TRIO,ORPHA:476126,Micrognathia-recurrent infections-behavioral abnormalities-mild intellectual disability syndrome
tRNA methyltransferase 1,TRMT1,OMIM:618302,"Intellectual developmental disorder, autosomal recessive 68"
tubulin alpha 1a,TUBA1A,ORPHA:45358,Congenital fibrosis of extraocular muscles
tubulin alpha 1a,TUBA1A,ORPHA:994,Fetal akinesia deformation sequence
tubulin alpha 1a,TUBA1A,OMIM:611603,Lissencephaly 3
tubulin alpha 1a,TUBA1A,ORPHA:171680,Lissencephaly due to TUBA1A mutation
tubulin alpha 1a,TUBA1A,ORPHA:467166,Tubulinopathy-associated dysgyria
ubiquitin protein ligase E3A,UBE3A,OMIM:105830,Angelman syndrome
